Country;CommodityCode;Grandeza;CÓDIGO DATAGRO
Syria;2222000;AreaHarvested;SBS_SY
Syria;4235000;AreaHarvested;OLO_SY
Taiwan;410000;AreaHarvested;WHT_TW
Taiwan;440000;AreaHarvested;COR_TW
Taiwan;2221000;AreaHarvested;PNS_TW
Taiwan;2222000;AreaHarvested;SBS_TW
Tajikistan;410000;AreaHarvested;WHT_TJ
Tajikistan;440000;AreaHarvested;COR_TJ
Tanzania;410000;AreaHarvested;WHT_TZ
Tanzania;440000;AreaHarvested;COR_TZ
Tanzania;2221000;AreaHarvested;PNS_TZ
Tanzania;2231000;AreaHarvested;CPO_TZ
Thailand;440000;AreaHarvested;COR_TH
Thailand;2221000;AreaHarvested;PNS_TH
Thailand;2222000;AreaHarvested;SBS_TH
Thailand;2231000;AreaHarvested;CPO_TH
Thailand;2232000;AreaHarvested;PKS_TH
Thailand;4243000;AreaHarvested;PAO_TH
Togo;440000;AreaHarvested;COR_TG
Togo;2221000;AreaHarvested;PNS_TG
Togo;2232000;AreaHarvested;PKS_TG
Togo;4243000;AreaHarvested;PAO_TG
Trinidad and Tobago;440000;AreaHarvested;COR_TT
Tunisia;410000;AreaHarvested;WHT_TN
Turkey;410000;AreaHarvested;WHT_TR
Turkey;440000;AreaHarvested;COR_TR
Turkey;2221000;AreaHarvested;PNS_TR
Turkey;2222000;AreaHarvested;SBS_TR
Turkey;2224000;AreaHarvested;SFS_TR
Turkey;2226000;AreaHarvested;RPS_TR
Turkmenistan;410000;AreaHarvested;WHT_TM
Turkmenistan;440000;AreaHarvested;COR_TM
Uganda;410000;AreaHarvested;WHT_UG
Uganda;440000;AreaHarvested;COR_UG
Uganda;2221000;AreaHarvested;PNS_UG
Uganda;2222000;AreaHarvested;SBS_UG
Ukraine;410000;AreaHarvested;WHT_UA
Ukraine;440000;AreaHarvested;COR_UA
Ukraine;2222000;AreaHarvested;SBS_UA
Ukraine;2224000;AreaHarvested;SFS_UA
Ukraine;2226000;AreaHarvested;RPS_UA
United Kingdom;410000;AreaHarvested;WHT_GB
United Kingdom;440000;AreaHarvested;COR_GB
United Kingdom;2226000;AreaHarvested;RPS_GB
United States;410000;AreaHarvested;WHT_US
United States;440000;AreaHarvested;COR_US
United States;2221000;AreaHarvested;PNS_US
United States;2222000;AreaHarvested;SBS_US
United States;2224000;AreaHarvested;SFS_US
United States;2226000;AreaHarvested;RPS_US
Uruguay;410000;AreaHarvested;WHT_UY
Uruguay;440000;AreaHarvested;COR_UY
Uruguay;2222000;AreaHarvested;SBS_UY
Uruguay;2224000;AreaHarvested;SFS_UY
Uruguay;2226000;AreaHarvested;RPS_UY
Uzbekistan;410000;AreaHarvested;WHT_UZ
Uzbekistan;440000;AreaHarvested;COR_UZ
Uzbekistan;2222000;AreaHarvested;SBS_UZ
Uzbekistan;2224000;AreaHarvested;SFS_UZ
Vanuatu/New Hebrides;2231000;AreaHarvested;CPO_VU
Venezuela;440000;AreaHarvested;COR_VE
Venezuela;2222000;AreaHarvested;SBS_VE
Venezuela;2231000;AreaHarvested;CPO_VE
Venezuela;4243000;AreaHarvested;PAO_VE
Vietnam;440000;AreaHarvested;COR_VN
Vietnam;2221000;AreaHarvested;PNS_VN
Vietnam;2222000;AreaHarvested;SBS_VN
Vietnam;2226000;AreaHarvested;RPS_VN
Vietnam;2231000;AreaHarvested;CPO_VN
WORLD;410000;AreaHarvested;WHT_WO
WORLD;440000;AreaHarvested;COR_WO
WORLD;2221000;AreaHarvested;PNS_WO
WORLD;2222000;AreaHarvested;SBS_WO
WORLD;2224000;AreaHarvested;SFS_WO
WORLD;2226000;AreaHarvested;RPS_WO
WORLD;2231000;AreaHarvested;CPO_WO
WORLD;2232000;AreaHarvested;PKS_WO
WORLD;4235000;AreaHarvested;OLO_WO
WORLD;4243000;AreaHarvested;PAO_WO
Yemen;410000;AreaHarvested;WHT_YE
Yemen;440000;AreaHarvested;COR_YE
Zambia;410000;AreaHarvested;WHT_ZM
Zambia;440000;AreaHarvested;COR_ZM
Zambia;2221000;AreaHarvested;PNS_ZM
Zambia;2222000;AreaHarvested;SBS_ZM
Zimbabwe;410000;AreaHarvested;WHT_ZW
Zimbabwe;440000;AreaHarvested;COR_ZW
Zimbabwe;2221000;AreaHarvested;PNS_ZW
Zimbabwe;2222000;AreaHarvested;SBS_ZW
Afghanistan;410000;BeginningStocks;WHT_AF
Afghanistan;4243000;BeginningStocks;PAO_AF
Albania;410000;BeginningStocks;WHT_AL
Algeria;410000;BeginningStocks;WHT_DZ
Algeria;440000;BeginningStocks;COR_DZ
Algeria;813100;BeginningStocks;SBM_DZ
Algeria;2222000;BeginningStocks;SBS_DZ
Algeria;4232000;BeginningStocks;SBO_DZ
Algeria;4235000;BeginningStocks;OLO_DZ
Algeria;4236000;BeginningStocks;SFO_DZ
Algeria;4243000;BeginningStocks;PAO_DZ
Angola;410000;BeginningStocks;WHT_AO
Angola;440000;BeginningStocks;COR_AO
Angola;4232000;BeginningStocks;SBO_AO
