id,Código_Produto,Classificação,Subproduto,Local,Fetch_Status,bolsa,roda,fonte,tav,subtav,decimais,correlatos,empresa,contrato,subproduto_id,entcode,nome,longo,descr,codf,bd,palavras,habilitado,lote,rep,vln,dia,freq,dex,inserido,alterado,created_at,updated_at
48,SuRaPr_Gu_MX_1,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004377,"Sugar Raw Guadalajara","SNIIM Daily Sugar Raw Price MXN Bg 50kg Guadalajara Jalisco Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Guadalajara Jalisco Mexico",SuRaPr_Gu_MX_1,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:41.000000Z
49,SuRaPr_He_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004391,"Sugar Raw Hermosillo","SNIIM Daily Sugar Raw Price MXN Bg 50kg Hermosillo Sonora Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Hermosillo Sonora Mexico",SuRaPr_He_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:41.000000Z
50,SuRaPr_Iz_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004371,"Sugar Raw Iztapalapa","SNIIM Daily Sugar Raw Price MXN Bg 50kg Iztapalapa Distrito Federal Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Iztapalapa Distrito Federal Mexico",SuRaPr_Iz_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:41.000000Z
51,SuRaPr_Le_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004373,"Sugar Raw Leon","SNIIM Daily Sugar Raw Price MXN Bg 50kg Leon Guanajuato Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Leon Guanajuato Mexico",SuRaPr_Le_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:41.000000Z
52,SuRaPr_Ma_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004398,"Sugar Raw Malibran","SNIIM Daily Sugar Raw Price MXN Bg 50kg Malibran Veracruz Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Malibran Veracruz Mexico",SuRaPr_Ma_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:41.000000Z
53,SuRaPr_Me_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004401,"Sugar Raw Merida","SNIIM Daily Sugar Raw Price MXN Bg 50kg Merida Yucatan Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Merida Yucatan Mexico",SuRaPr_Me_MX,,,1,0,0,0,1,D,,"2021-10-21 19:40:33","2021-10-21 19:40:33",,2023-11-23T18:31:42.000000Z
54,SuRaPr_Mi_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004397,"Sugar Raw Minatitlan","SNIIM Daily Sugar Raw Price MXN Bg 50kg Minatitlan Veracruz Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Minatitlan Veracruz Mexico",SuRaPr_Mi_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:42.000000Z
55,SuRaPr_Mo_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004378,"Sugar Raw Morelia","SNIIM Daily Sugar Raw Price MXN Bg 50kg Morelia Michoacan Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Morelia Michoacan Mexico",SuRaPr_Mo_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:42.000000Z
56,SuRaPr_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004403,"Sugar Raw Average Mexico","SNIIM Daily Sugar Raw Price MXN Average Bg 50kg Mexico","SNIIM Daily Sugar Raw Price MXN Average Bg 50kg Mexico",SuRaPr_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:42.000000Z
57,SuRaPr_Oa_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004384,"Sugar Raw Oaxaca","SNIIM Daily Sugar Raw Price MXN Bg 50kg Oaxaca Oaxaca Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Oaxaca Oaxaca Mexico",SuRaPr_Oa_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:43.000000Z
58,SuRaPr_Pa_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004376,"Sugar Raw Pachuca","SNIIM Daily Sugar Raw Price MXN Bg 50kg Pachuca Hidalgo Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Pachuca Hidalgo Mexico",SuRaPr_Pa_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:43.000000Z
59,SuRaPr_Pe_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004366,"Sugar Raw Pedro Sainz de Baranda","SNIIM Daily Sugar Raw Price MXN Bg 50kg Pedro Sainz de Baranda Campeche Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Pedro Sainz de Baranda Campeche Mexico",SuRaPr_Pe_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:43.000000Z
