CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO,NO_NCM_POR,SG_UNID,NO_PAIS,NO_UF,NO_REGIAO,NO_VIA,NO_URF
2016,1,10019900,10,586,PR,7,910600,36924590,36924590,6262084,332220,1637,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Paraná,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,8,11010010,10,386,SP,1,817800,13970,13970,8943,494,0,Farinha de trigo,KGL  ,Itália,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,2,11010010,10,63,SC,7,1010900,243000,243000,70270,5818,0,Farinha de trigo,KGL  ,Argentina,Santa Catarina,REGIAO SUL,RODOVIARIA,1010900 - URUGUAIANA
2016,3,10019900,10,249,AM,1,227600,11000000,11000000,3155397,320100,5468,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,Amazonas,REGIAO NORTE,MARITIMA,0227600 - PORTO DE MANAUS
2016,9,11010010,10,586,SC,7,910600,217150,217150,94305,4467,79,Farinha de trigo,KGL  ,Paraguai,Santa Catarina,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,8,15071000,21,586,SC,7,910600,3000,3000000,1760000,99000,1512,"Óleo de soja, em bruto, mesmo degomado",TML  ,Paraguai,Santa Catarina,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,1,10019900,10,249,CE,1,317600,7500626,7500626,1470709,132011,711,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,Ceará,REGIAO NORDESTE,MARITIMA,0317600 - PORTO DE FORTALEZA
2016,12,10019900,10,149,SP,1,817800,8250000,8250000,2061365,262350,1315,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Canadá,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,11,10059010,10,63,SE,1,517600,3300000,3300000,656762,44550,1504,"Milho em grão, exceto para semeadura",KGL  ,Argentina,Sergipe,REGIAO NORDESTE,MARITIMA,0517600 - PORTO DE SALVADOR
2016,10,11010020,10,386,RO,1,717600,7500,7500,2168,530,0,Farinha de mistura de trigo com centeio (méteil),KGL  ,Itália,Rondônia,REGIAO NORTE,MARITIMA,0717600 - PORTO DO RIO DE JANEIRO
