Country;CommodityCode;Attribute
Argentina;813500.0;BeginningStocks
Argentina;2221000.0;BeginningStocks
Argentina;2222000.0;BeginningStocks
Argentina;2223000.0;BeginningStocks
Argentina;2224000.0;BeginningStocks
Argentina;2226000.0;BeginningStocks
Argentina;4232000.0;BeginningStocks
Argentina;4233000.0;BeginningStocks
Argentina;4234000.0;BeginningStocks
Argentina;4235000.0;BeginningStocks
Argentina;4236000.0;BeginningStocks
Argentina;4239100.0;BeginningStocks
Armenia;410000.0;BeginningStocks
Australia;410000.0;BeginningStocks
Australia;440000.0;BeginningStocks
Australia;813100.0;BeginningStocks
Australia;813300.0;BeginningStocks
Australia;813600.0;BeginningStocks
Australia;2221000.0;BeginningStocks
Australia;2222000.0;BeginningStocks
Australia;2223000.0;BeginningStocks
Australia;2224000.0;BeginningStocks
Australia;2226000.0;BeginningStocks
Australia;4232000.0;BeginningStocks
Australia;4233000.0;BeginningStocks
Australia;4235000.0;BeginningStocks
Australia;4236000.0;BeginningStocks
Australia;4239100.0;BeginningStocks
Australia;4243000.0;BeginningStocks
Azerbaijan;410000.0;BeginningStocks
Azerbaijan;440000.0;BeginningStocks
Azerbaijan;2223000.0;BeginningStocks
Bahrain;410000.0;BeginningStocks
Bangladesh;410000.0;BeginningStocks
Bangladesh;440000.0;BeginningStocks
Bangladesh;813100.0;BeginningStocks
Bangladesh;813600.0;BeginningStocks
Bangladesh;813700.0;BeginningStocks
Bangladesh;2221000.0;BeginningStocks
Bangladesh;2222000.0;BeginningStocks
Bangladesh;2226000.0;BeginningStocks
Bangladesh;4232000.0;BeginningStocks
Bangladesh;4239100.0;BeginningStocks
Bangladesh;4242000.0;BeginningStocks
Bangladesh;4243000.0;BeginningStocks
Barbados;2222000.0;BeginningStocks
Barbados;4232000.0;BeginningStocks
Belarus;410000.0;BeginningStocks
Belarus;440000.0;BeginningStocks
Belarus;813100.0;BeginningStocks
Belarus;813500.0;BeginningStocks
Belarus;813600.0;BeginningStocks
Belarus;2222000.0;BeginningStocks
Belarus;2226000.0;BeginningStocks
Belarus;4232000.0;BeginningStocks
Belarus;4236000.0;BeginningStocks
Belarus;4239100.0;BeginningStocks
Benin;440000.0;BeginningStocks
Benin;2221000.0;BeginningStocks
Benin;2222000.0;BeginningStocks
Benin;2223000.0;BeginningStocks
Benin;4243000.0;BeginningStocks
Bolivia;410000.0;BeginningStocks
Bolivia;440000.0;BeginningStocks
Bolivia;813100.0;BeginningStocks
Bolivia;813500.0;BeginningStocks
Bolivia;2222000.0;BeginningStocks
Bolivia;2224000.0;BeginningStocks
Bolivia;4232000.0;BeginningStocks
Bolivia;4236000.0;BeginningStocks
Bosnia and Herzegovina;410000.0;BeginningStocks
Bosnia and Herzegovina;440000.0;BeginningStocks
Bosnia and Herzegovina;813100.0;BeginningStocks
Bosnia and Herzegovina;813500.0;BeginningStocks
Bosnia and Herzegovina;2222000.0;BeginningStocks
Bosnia and Herzegovina;2224000.0;BeginningStocks
Bosnia and Herzegovina;4232000.0;BeginningStocks
Bosnia and Herzegovina;4236000.0;BeginningStocks
Brazil;410000.0;BeginningStocks
Brazil;440000.0;BeginningStocks
Brazil;813100.0;BeginningStocks
Brazil;813300.0;BeginningStocks
Brazil;2221000.0;BeginningStocks
Brazil;2222000.0;BeginningStocks
Brazil;2223000.0;BeginningStocks
Brazil;2224000.0;BeginningStocks
Brazil;4232000.0;BeginningStocks
Brazil;4233000.0;BeginningStocks
Brazil;4234000.0;BeginningStocks
Brazil;4235000.0;BeginningStocks
Brazil;4236000.0;BeginningStocks
Brazil;4243000.0;BeginningStocks
Burkina Faso;410000.0;BeginningStocks
Burkina Faso;440000.0;BeginningStocks
Burkina Faso;2221000.0;BeginningStocks
Burkina Faso;2223000.0;BeginningStocks
Burma;410000.0;BeginningStocks
Burma;440000.0;BeginningStocks
Burma;813100.0;BeginningStocks
Burma;813200.0;BeginningStocks
Burma;2221000.0;BeginningStocks
Burma;2224000.0;BeginningStocks
Burma;4234000.0;BeginningStocks
Burma;4243000.0;BeginningStocks
Cambodia;440000.0;BeginningStocks
Cambodia;813100.0;BeginningStocks
Cameroon;410000.0;BeginningStocks
Cameroon;440000.0;BeginningStocks
Cameroon;2223000.0;BeginningStocks
Cameroon;4243000.0;BeginningStocks
Canada;410000.0;BeginningStocks
Canada;440000.0;BeginningStocks
Canada;813100.0;BeginningStocks
Canada;813600.0;BeginningStocks
Canada;814200.0;BeginningStocks
Canada;2221000.0;BeginningStocks
Canada;2222000.0;BeginningStocks
Canada;2224000.0;BeginningStocks
Canada;2226000.0;BeginningStocks
Canada;4232000.0;BeginningStocks
Canada;4235000.0;BeginningStocks
Canada;4236000.0;BeginningStocks
Canada;4239100.0;BeginningStocks
Canada;4242000.0;BeginningStocks
Canada;4244000.0;BeginningStocks
Central African Republic;2221000.0;BeginningStocks
Chad;440000.0;BeginningStocks
Chad;2221000.0;BeginningStocks
Chad;2223000.0;BeginningStocks
Chile;410000.0;BeginningStocks
Chile;440000.0;BeginningStocks
Chile;813100.0;BeginningStocks
Chile;813600.0;BeginningStocks
Chile;814200.0;BeginningStocks
Chile;2222000.0;BeginningStocks
Chile;2224000.0;BeginningStocks
Chile;2226000.0;BeginningStocks
Chile;4232000.0;BeginningStocks
Chile;4235000.0;BeginningStocks
Chile;4236000.0;BeginningStocks
Chile;4239100.0;BeginningStocks
China;410000.0;BeginningStocks
China;440000.0;BeginningStocks
China;813100.0;BeginningStocks
China;2222000.0;BeginningStocks
China;2224000.0;BeginningStocks
China;2226000.0;BeginningStocks
