ANO;MES;CO_NCM;ARG_PAIS_CO;PNET;FOB;NO_NCM_POR;ARG_PAIS_NOME
2019;6;10059010;101;s;s;Milho em gṛo, exceto para semeadura;Burkina Faso
2019;8;10059010;101;s;s;Milho em gṛo, exceto para semeadura;Burkina Faso
2019;9;10059010;101;s;s;Milho em gṛo, exceto para semeadura;Burkina Faso
2019;1;10059010;102;212592215,000;36251539,52;Milho em gṛo, exceto para semeadura;Argelia
2019;2;10059010;102;168019000,000;29677330,35;Milho em gṛo, exceto para semeadura;Argelia
2019;3;10059010;102;466614520,000;79798547,14;Milho em gṛo, exceto para semeadura;Argelia
2019;4;10059010;102;322420410,000;54755073,53;Milho em gṛo, exceto para semeadura;Argelia
2019;5;10059010;102;229400665,000;36076778,55;Milho em gṛo, exceto para semeadura;Argelia
2019;6;10059010;102;270471890,000;42224277,96;Milho em gṛo, exceto para semeadura;Argelia
2019;7;10059010;102;413145975,000;64376192,34;Milho em gṛo, exceto para semeadura;Argelia
2019;8;10059010;102;495127830,000;79812002,09;Milho em gṛo, exceto para semeadura;Argelia
2019;9;10059010;102;227221300,000;36222146,68;Milho em gṛo, exceto para semeadura;Argelia
2019;10;10059010;102;346695415,000;53227774,37;Milho em gṛo, exceto para semeadura;Argelia
2019;11;10059010;102;493844810,000;75449909,50;Milho em gṛo, exceto para semeadura;Argelia
